Token	Hoedanigheid	Plaats - Politieke Entiteit	Persoonsaanduiding	Organisatie	Datum	Resolutieverwijzing	Commissie	Overige Naam	Annotatie
Ontfangen	O	O	O	O	O	O	O	O
een	O	O	O	O	O	O	O	O
missiue	O	O	O	O	O	O	O	O
vande	O	O	O	O	O	O	O	O
heeren	O	O	O	B-ORG	O	O	O	O	heeren Gedeputeerde Staten van Vreslande
Gedeputeerde	O	O	O	I-ORG	O	O	O	O
Staten	O	O	O	I-ORG	O	O	O	O
van	O	O	O	I-ORG	O	O	O	O
Vreslande	O	B-LOC	O	I-ORG	O	O	O	O	Vreslande
geschreven	O	O	O	O	O	O	O	O
tot	O	O	O	O	O	O	O	O
Leuwarden	O	B-LOC	O	O	O	O	O	O	Leuwarden
in	O	O	O	O	O	O	O	O
Januarij	O	O	O	O	B-DAT	O	O	O	Januarij sonder expressie vanden precisen dach
sonder	O	O	O	O	I-DAT	O	O	O
expressie	O	O	O	O	I-DAT	O	O	O
vanden	O	O	O	O	I-DAT	O	O	O
precisen	O	O	O	O	I-DAT	O	O	O
dach	O	O	O	O	I-DAT	O	O	O
,	O	O	O	O	O	O	O	O
houdende	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O
effect	O	O	O	O	O	O	O	O
terwijlen	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O
meyninge	O	O	O	O	O	O	O	O
vande	O	O	O	O	O	O	O	O
heere	O	O	O	B-ORG	O	O	O	O	heere Staten van Vrieslandt
Staten	O	O	O	I-ORG	O	O	O	O
van	O	O	O	I-ORG	O	O	O	O
Vrieslandt	O	B-LOC	O	I-ORG	O	O	O	O	Vrieslandt
noch	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O
dat	O	O	O	O	O	O	O	O
op	O	O	O	O	O	O	O	O
haer	O	O	O	O	O	O	O	O
Ed	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O
Mo	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O
Commissie	O	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O	O
heere	O	O	B-PER	O	O	O	O	O	heere Dt. Johannes Velteriel
Dt	O	O	I-PER	O	O	O	O	O
.	O	O	I-PER	O	O	O	O	O
Johannes	O	O	I-PER	O	O	O	O	O
Velteriel	O	O	I-PER	O	O	O	O	O
in	O	O	O	O	O	O	O	O
plaetse	O	O	O	O	O	O	O	O
vanden	O	O	O	O	O	O	O	O
heer	O	O	B-PER	O	O	O	O	O	heer Gerrard keth
Gerrard	O	O	I-PER	O	O	O	O	O
keth	O	O	I-PER	O	O	O	O	O
in	O	O	O	O	O	O	O	O
haer	O	O	O	O	O	O	O	O
ho	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O
mo	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O
Vergaderinge	O	O	O	O	O	O	O	O
gecommitteert	O	O	O	O	O	O	O	O
van	O	O	O	O	O	O	O	O
wegen	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O
gemelte	O	O	O	O	O	O	O	O
Provincie	O	B-LOC	O	O	O	O	O	O	Provincie van Vrieslandt
van	O	I-LOC	O	O	O	O	O	O
Vrieslandt	O	I-LOC	O	O	O	O	O	O
zal	O	O	O	O	O	O	O	O
compareren	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O
soo	O	O	O	O	O	O	O	O
vsoeck	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O
gemelte	O	O	O	O	O	O	O	O
heeren	O	O	O	O	O	O	O	O
Gedeputeerden	O	O	O	O	O	O	O	O
haer	O	O	O	O	O	O	O	O
ho	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O
