inv_num	text_region_id	line_ids	scan_num	page_num	year	month_num	day_num	second_session	check	date_type	unrecognized_type	session_day_num	scan_id	scan_viewer_url
3104	NL-HaNA_1.01.02_3104_0005-text_region-936-1062-1538-120		5.0	8	1580	1.0	1.0	0		start			NL-HaNA_1.01.02_3104_05.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_05.0
3104	NL-HaNA_1.01.02_3104_0005-text_region-1254-2880-916-254		5.0	8	1580	1.0	2.0	0		start			NL-HaNA_1.01.02_3104_05.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_05.0
3104	NL-HaNA_1.01.02_3104_0005-text_region-2825-135-681-143		5.0	9	1580	1.0	2.0	0		header			NL-HaNA_1.01.02_3104_05.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_05.0
3104	NL-HaNA_1.01.02_3104_0005-text_region-3744-2807-784-254		5.0	9	1580	1.0	3.0	0		start			NL-HaNA_1.01.02_3104_05.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_05.0
3104	NL-HaNA_1.01.02_3104_0006-text_region-1153-204-765-204		6.0	10	1580	1.0	4.0	0		start			NL-HaNA_1.01.02_3104_06.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_06.0
3104	NL-HaNA_1.01.02_3104_0006-text_region-1396-2821-780-239		6.0	10	1580	1.0	5.0	0		start			NL-HaNA_1.01.02_3104_06.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_06.0
3104	NL-HaNA_1.01.02_3104_0006-text_region-3045-110-540-137		6.0	11	1580	1.0	5.0	0		header			NL-HaNA_1.01.02_3104_06.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_06.0
3104	NL-HaNA_1.01.02_3104_0007-text_region-1284-649-795-257		7.0	12	1580	1.0	6.0	0		start			NL-HaNA_1.01.02_3104_07.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_07.0
3104	NL-HaNA_1.01.02_3104_0007-text_region-1305-1315-805-262		7.0	12	1580	1.0	7.0	0		start			NL-HaNA_1.01.02_3104_07.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_07.0
3104	NL-HaNA_1.01.02_3104_0007-text_region-2770-144-517-142		7.0	13	1580	1.0	7.0	0		header			NL-HaNA_1.01.02_3104_07.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_07.0
3104	NL-HaNA_1.01.02_3104_0007-text_region-3764-1918-951-268		7.0	13	1580	1.0	8.0	0		start			NL-HaNA_1.01.02_3104_07.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_07.0
3104	NL-HaNA_1.01.02_3104_0008-text_region-1257-1780-891-222		8.0	14	1580	1.0	9.0	0		start			NL-HaNA_1.01.02_3104_08.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_08.0
3104	NL-HaNA_1.01.02_3104_0008-text_region-2806-105-541-220		8.0	15	1580	1.0	9.0	0		header			NL-HaNA_1.01.02_3104_08.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_08.0
3104	NL-HaNA_1.01.02_3104_0009-text_region-1280-1403-808-290		9.0	16	1580	1.0	11.0	0		start			NL-HaNA_1.01.02_3104_09.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_09.0
3104	NL-HaNA_1.01.02_3104_0009-text_region-2881-83-535-198		9.0	17	1580	1.0	11.0	0		header			NL-HaNA_1.01.02_3104_09.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_09.0
3104	NL-HaNA_1.01.02_3104_0009-text_region-3769-1815-727-270		9.0	17	1580	1.0	12.0	0		start			NL-HaNA_1.01.02_3104_09.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_09.0
3104	NL-HaNA_1.01.02_3104_0010-text_region-1386-1917-830-266		10.0	18	1580	1.0	13.0	0		start			NL-HaNA_1.01.02_3104_10.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_10.0
3104	NL-HaNA_1.01.02_3104_0010-text_region-2790-104-547-183		10.0	19	1580	1.0	13.0	0		header			NL-HaNA_1.01.02_3104_10.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_10.0
3104	NL-HaNA_1.01.02_3104_0011-text_region-1279-1691-885-282		11.0	20	1580	1.0	14.0	0		start			NL-HaNA_1.01.02_3104_11.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_11.0
3104	NL-HaNA_1.01.02_3104_0011-text_region-2668-138-548-139		11.0	21	1580	1.0	14.0	0		header			NL-HaNA_1.01.02_3104_11.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_11.0
3104	NL-HaNA_1.01.02_3104_0011-text_region-3512-1601-1207-291		11.0	21	1580	1.0	15.0	0		start			NL-HaNA_1.01.02_3104_11.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_11.0
3104	NL-HaNA_1.01.02_3104_0012-text_region-1040-801-1280-353		12.0	22	1580	1.0	16.0	0		start			NL-HaNA_1.01.02_3104_12.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_12.0
3104	NL-HaNA_1.01.02_3104_0012-text_region-834-2699-1380-406		12.0	22	1580	1.0	17.0	0		start			NL-HaNA_1.01.02_3104_12.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_12.0
3104	NL-HaNA_1.01.02_3104_0012-text_region-3308-150-1208-368		12.0	23	1580	1.0	18.0	0	start_in_header_position	start			NL-HaNA_1.01.02_3104_12.0	https://www.nationaalarchief.nl/onderzoeken/archief/1.01.02/invnr/3104/file/NL-HaNA_1.01.02_3104_12.0
