inv_num	text_region_id	line_ids	scan_id	scan_num	page_num	year	month_num	day_num	date_type	page_id	date
3194		NL-HaNA_1.01.02_3194_0112-line-1406-441-1022-168	NL-HaNA_1.01.02_3194_0112	112	222	1635	5	21	start	NL-HaNA_1.01.02_3194_0112-page-222	1635-05-21
3194		NL-HaNA_1.01.02_3194_0112-line-1504-765-1022-155	NL-HaNA_1.01.02_3194_0112	112	222	1635	5	21	start	NL-HaNA_1.01.02_3194_0112-page-222	1635-05-21
3194		NL-HaNA_1.01.02_3194_0116-line-1313-1718-1366-186	NL-HaNA_1.01.02_3194_0116	116	230	1635	5	21	start	NL-HaNA_1.01.02_3194_0116-page-230	1635-05-21
3194		NL-HaNA_1.01.02_3194_0125-line-355-2486-2212-233	NL-HaNA_1.01.02_3194_0125	125	248	1635	5	21	start	NL-HaNA_1.01.02_3194_0125-page-248	1635-05-21
3194		NL-HaNA_1.01.02_3194_0129-line-3993-2059-1263-161	NL-HaNA_1.01.02_3194_0129	129	257	1635	5	21	start	NL-HaNA_1.01.02_3194_0129-page-257	1635-05-21
3194		NL-HaNA_1.01.02_3194_0129-line-4252-2259-873-172	NL-HaNA_1.01.02_3194_0129	129	257	1635	5	21	start	NL-HaNA_1.01.02_3194_0129-page-257	1635-05-21
3194		NL-HaNA_1.01.02_3194_0136-line-1517-1664-927-148	NL-HaNA_1.01.02_3194_0136	136	270	1635	5	21	start	NL-HaNA_1.01.02_3194_0136-page-270	1635-05-21
3194		NL-HaNA_1.01.02_3194_0562-line-1309-548-1132-173	NL-HaNA_1.01.02_3194_0562	562	1122	1635	5	21	start	NL-HaNA_1.01.02_3194_0562-page-1122	1635-05-21
3194		NL-HaNA_1.01.02_3194_0572-line-4272-3288-1243-179	NL-HaNA_1.01.02_3194_0572	572	1143	1635	5	21	start	NL-HaNA_1.01.02_3194_0572-page-1143	1635-05-21
3194		NL-HaNA_1.01.02_3194_0578-line-1468-1311-1298-179	NL-HaNA_1.01.02_3194_0578	578	1154	1635	5	21	start	NL-HaNA_1.01.02_3194_0578-page-1154	1635-05-21
3194		NL-HaNA_1.01.02_3194_0578-line-1518-1542-927-204	NL-HaNA_1.01.02_3194_0578	578	1154	1635	5	21	start	NL-HaNA_1.01.02_3194_0578-page-1154	1635-05-21
3194		NL-HaNA_1.01.02_3194_0580-line-237-890-2373-198	NL-HaNA_1.01.02_3194_0580	580	1158	1635	5	21	start	NL-HaNA_1.01.02_3194_0580-page-1158	1635-05-21
