inv_num	text_region_id	line_ids	scan_id	scan_num	page_num	year	month_num	day_num	date_type	date
3330		NL-HaNA_1.01.02_3330_0029-line-2914-151-1390-208	NL-HaNA_1.01.02_3330_0029	29	57	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0034-line-3097-903-1198-187	NL-HaNA_1.01.02_3330_0034	34	67	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0042-line-881-1420-1167-217	NL-HaNA_1.01.02_3330_0042	42	82	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0043-line-3155-901-984-178	NL-HaNA_1.01.02_3330_0043	43	85	1694	7	29	no_start	1694-07-29
3330		NL-HaNA_1.01.02_3330_0046-line-3083-634-1156-141	NL-HaNA_1.01.02_3330_0046	46	91	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0046-line-3191-908-1130-198	NL-HaNA_1.01.02_3330_0046	46	91	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0052-line-3105-3120-1053-232	NL-HaNA_1.01.02_3330_0052	52	103	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0061-line-898-2279-1094-275	NL-HaNA_1.01.02_3330_0061	61	120	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0065-line-2963-91-1143-236	NL-HaNA_1.01.02_3330_0065	65	129	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0069-line-893-876-1185-197	NL-HaNA_1.01.02_3330_0069	69	136	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0070-line-3145-2856-1249-211	NL-HaNA_1.01.02_3330_0070	70	139	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0070-line-3157-3231-1135-193	NL-HaNA_1.01.02_3330_0070	70	139	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0077-line-836-103-1319-228	NL-HaNA_1.01.02_3330_0077	77	152	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0079-line-3116-1131-1146-259	NL-HaNA_1.01.02_3330_0079	79	157	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0082-line-868-77-1294-184	NL-HaNA_1.01.02_3330_0082	82	162	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0083-line-3144-2963-1258-195	NL-HaNA_1.01.02_3330_0083	83	165	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0093-line-3249-1083-1055-154	NL-HaNA_1.01.02_3330_0093	93	185	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0097-line-3152-1542-1246-192	NL-HaNA_1.01.02_3330_0097	97	193	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0103-line-3118-3314-1384-201	NL-HaNA_1.01.02_3330_0103	103	205	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0106-line-3076-664-1236-237	NL-HaNA_1.01.02_3330_0106	106	211	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0110-line-803-323-1358-225	NL-HaNA_1.01.02_3330_0110	110	218	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0116-line-852-2912-1343-246	NL-HaNA_1.01.02_3330_0116	116	230	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0169-line-3115-1301-1609-278	NL-HaNA_1.01.02_3330_0169	169	337	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0169-line-3216-1713-1429-184	NL-HaNA_1.01.02_3330_0169	169	337	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0189-line-894-1875-1524-239	NL-HaNA_1.01.02_3330_0189	189	376	1694	5	21	start	1694-05-21
3330		NL-HaNA_1.01.02_3330_0444-line-3087-625-1406-135	NL-HaNA_1.01.02_3330_0444	444	887	1694	11	6	no_start	1694-11-06
3330		NL-HaNA_1.01.02_3330_0578-line-933-1378-1213-242	NL-HaNA_1.01.02_3330_0578	578	1154	1694	12	14	no_start	1694-12-14
3330		NL-HaNA_1.01.02_3330_0620-line-3321-2936-1296-195	NL-HaNA_1.01.02_3330_0620	620	1239	1694	12	28	no_start	1694-12-28
