inv_num	text_region_id	line_ids	scan_id	scan_num	page_num	year	month_num	day_num	date_type	page_id
3158		NL-HaNA_1.01.02_3158_0373-line-1180-403-1154-210	NL-HaNA_1.01.02_3158_0373	373	744	1607	5	21	start	NL-HaNA_1.01.02_3158_0373-page-744
3158		NL-HaNA_1.01.02_3158_0374-line-1191-1695-1374-175	NL-HaNA_1.01.02_3158_0374	374	746	1607	5	21	start	NL-HaNA_1.01.02_3158_0374-page-746
3158		NL-HaNA_1.01.02_3158_0378-line-1441-1237-1122-210	NL-HaNA_1.01.02_3158_0378	378	754	1607	5	21	start	NL-HaNA_1.01.02_3158_0378-page-754
3158		NL-HaNA_1.01.02_3158_0381-line-3816-871-950-215	NL-HaNA_1.01.02_3158_0381	381	761	1607	5	21	start	NL-HaNA_1.01.02_3158_0381-page-761
3158		NL-HaNA_1.01.02_3158_0386-line-3759-1181-1159-232	NL-HaNA_1.01.02_3158_0386	386	771	1607	5	21	start	NL-HaNA_1.01.02_3158_0386-page-771
3158		NL-HaNA_1.01.02_3158_0390-line-1268-2371-1211-210	NL-HaNA_1.01.02_3158_0390	390	778	1607	5	21	start	NL-HaNA_1.01.02_3158_0390-page-778
3158		NL-HaNA_1.01.02_3158_0394-line-1345-2624-1093-200	NL-HaNA_1.01.02_3158_0394	394	786	1607	5	21	start	NL-HaNA_1.01.02_3158_0394-page-786
3158		NL-HaNA_1.01.02_3158_0401-line-3935-2137-1000-181	NL-HaNA_1.01.02_3158_0401	401	801	1607	5	21	start	NL-HaNA_1.01.02_3158_0401-page-801
3158		NL-HaNA_1.01.02_3158_0403-line-1250-1600-1345-298	NL-HaNA_1.01.02_3158_0403	403	804	1607	5	21	start	NL-HaNA_1.01.02_3158_0403-page-804
3158		NL-HaNA_1.01.02_3158_0412-line-3831-1197-1011-193	NL-HaNA_1.01.02_3158_0412	412	823	1607	5	21	start	NL-HaNA_1.01.02_3158_0412-page-823
3158		NL-HaNA_1.01.02_3158_0412-line-2680-1601-2215-152	NL-HaNA_1.01.02_3158_0412	412	823	1607	5	21	start	NL-HaNA_1.01.02_3158_0412-page-823
3158		NL-HaNA_1.01.02_3158_0412-line-3646-2494-1229-170	NL-HaNA_1.01.02_3158_0412	412	823	1607	5	21	start	NL-HaNA_1.01.02_3158_0412-page-823
3158		NL-HaNA_1.01.02_3158_0417-line-3593-2516-1386-255	NL-HaNA_1.01.02_3158_0417	417	833	1607	5	21	start	NL-HaNA_1.01.02_3158_0417-page-833
3158		NL-HaNA_1.01.02_3158_0429-line-1182-1722-1125-315	NL-HaNA_1.01.02_3158_0429	429	856	1607	5	21	start	NL-HaNA_1.01.02_3158_0429-page-856
3158		NL-HaNA_1.01.02_3158_0430-line-1173-2340-1181-209	NL-HaNA_1.01.02_3158_0430	430	858	1607	5	21	start	NL-HaNA_1.01.02_3158_0430-page-858
3158		NL-HaNA_1.01.02_3158_0438-line-3730-1628-988-220	NL-HaNA_1.01.02_3158_0438	438	875	1607	5	21	start	NL-HaNA_1.01.02_3158_0438-page-875
3158		NL-HaNA_1.01.02_3158_0443-line-1241-1692-1209-211	NL-HaNA_1.01.02_3158_0443	443	884	1607	5	21	start	NL-HaNA_1.01.02_3158_0443-page-884
3158		NL-HaNA_1.01.02_3158_0448-line-3703-386-1118-247	NL-HaNA_1.01.02_3158_0448	448	895	1607	5	21	start	NL-HaNA_1.01.02_3158_0448-page-895
3158		NL-HaNA_1.01.02_3158_0451-line-3674-2658-1313-210	NL-HaNA_1.01.02_3158_0451	451	901	1607	5	21	start	NL-HaNA_1.01.02_3158_0451-page-901
3158		NL-HaNA_1.01.02_3158_0458-line-1086-1232-1253-255	NL-HaNA_1.01.02_3158_0458	458	914	1607	5	21	start	NL-HaNA_1.01.02_3158_0458-page-914
3158		NL-HaNA_1.01.02_3158_0463-line-1371-1784-1097-252	NL-HaNA_1.01.02_3158_0463	463	924	1607	5	21	start	NL-HaNA_1.01.02_3158_0463-page-924
3158		NL-HaNA_1.01.02_3158_0466-line-3561-389-1224-250	NL-HaNA_1.01.02_3158_0466	466	931	1607	5	21	start	NL-HaNA_1.01.02_3158_0466-page-931
3158		NL-HaNA_1.01.02_3158_0470-line-1282-2282-1256-209	NL-HaNA_1.01.02_3158_0470	470	938	1607	5	21	start	NL-HaNA_1.01.02_3158_0470-page-938
3158		NL-HaNA_1.01.02_3158_0474-line-3763-2062-991-218	NL-HaNA_1.01.02_3158_0474	474	947	1607	5	21	start	NL-HaNA_1.01.02_3158_0474-page-947
3158		NL-HaNA_1.01.02_3158_0479-line-1016-1741-1239-273	NL-HaNA_1.01.02_3158_0479	479	956	1607	5	21	start	NL-HaNA_1.01.02_3158_0479-page-956
3158		NL-HaNA_1.01.02_3158_0482-line-3785-2733-1044-237	NL-HaNA_1.01.02_3158_0482	482	963	1607	5	21	start	NL-HaNA_1.01.02_3158_0482-page-963
3158		NL-HaNA_1.01.02_3158_0485-line-1266-1430-1267-249	NL-HaNA_1.01.02_3158_0485	485	968	1607	5	21	start	NL-HaNA_1.01.02_3158_0485-page-968
3158		NL-HaNA_1.01.02_3158_0494-line-1202-1655-1088-225	NL-HaNA_1.01.02_3158_0494	494	986	1607	5	21	start	NL-HaNA_1.01.02_3158_0494-page-986
