Token	Hoedanigheid	Plaats - Politieke Entiteit	Persoonsaanduiding	Organisatie	Datum	Resolutieverwijzing	Commissie	Overige Naam	Annotatie
DOP	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O
Requeste	O	O	O	O	O	O	O	O
van	O	O	O	O	O	O	O	O
Georg	B-HOE	O	B-PER	O	O	O	O	O	Georg Wolrgang Carel Duco thoe Schwartzenberg en Hoc henlandsberg. Grietman over Menaldumadeel en Vomagt ten Landsdage der Provincie van Vriesland
Wolrgang	I-HOE	O	I-PER	O	O	O	O	O
Carel	I-HOE	O	I-PER	O	O	O	O	O
Duco	I-HOE	O	I-PER	O	O	O	O	O
thoe	I-HOE	O	I-PER	O	O	O	O	O
Schwartzenberg	I-HOE	B-LOC	I-PER	O	O	O	O	O	Schwartzenberg en Hoc henlandsberg
en	I-HOE	I-LOC	I-PER	O	O	O	O	O
Hoc	I-HOE	I-LOC	I-PER	O	O	O	O	O
henlandsberg	I-HOE	I-LOC	I-PER	O	O	O	O	O
.	I-HOE	O	I-PER	O	O	O	O	O
Grietman	I-HOE	O	I-PER	O	O	O	O	O
over	I-HOE	O	I-PER	O	O	O	O	O
Menaldumadeel	I-HOE	B-LOC	I-PER	O	O	O	O	O	Menaldumadeel
en	I-HOE	O	I-PER	O	O	O	O	O
Vomagt	I-HOE	O	I-PER	O	O	O	O	O
ten	I-HOE	O	I-PER	O	O	O	O	O
Landsdage	I-HOE	O	I-PER	O	O	O	O	O
der	I-HOE	O	I-PER	O	O	O	O	O
Provincie	I-HOE	O	I-PER	O	O	O	O	O
van	I-HOE	O	I-PER	O	O	O	O	O
Vriesland	I-HOE	O	I-PER	O	O	O	O	O
.	O	O	O	O	O	O	O	O
18	O	O	O	O	O	O	O	O
na	O	O	O	O	O	O	O	O
voorgaande	O	O	O	O	O	O	O	O
deliberatie	O	O	O	O	O	O	O	O
goedgevonden	O	O	O	O	O	O	O	O
en	O	O	O	O	O	O	O	O
verstaan	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O
dat	O	O	O	O	O	O	O	O
ten	O	O	O	O	O	O	O	O
behoeve	O	O	O	O	O	O	O	O
van	O	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O	O
Suppliant	O	O	O	O	O	O	O	O
een	O	O	O	O	O	O	O	O
Pasport	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O
sorma	O	O	O	O	O	O	O	O
van	O	O	O	O	O	O	O	O
Acte	O	O	O	O	O	O	O	O
ad	O	O	O	O	O	O	O	O
omnes	O	O	O	O	O	O	O	O
Populos	O	O	O	O	O	O	O	O
sal	O	O	O	O	O	O	O	O
worden	O	O	O	O	O	O	O	O
gedepecheert	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O
om	O	O	O	O	O	O	O	O
met	O	O	O	O	O	O	O	O
N	O	O	B-PER	O	O	O	O	O	N. Herboll
.	O	O	I-PER	O	O	O	O	O
Herboll	O	O	I-PER	O	O	O	O	O
,	O	O	O	O	O	O	O	O
een	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O
twee	O	O	O	O	O	O	O	O
Domesticquen	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O
en	O	O	O	O	O	O	O	O
de	O	O	O	O	O	O	O	O
noodige	O	O	O	O	O	O	O	O
Bagage	O	O	O	O	O	O	O	O
eene	O	O	O	O	O	O	O	O
reise	O	O	O	O	O	O	O	O
door	O	O	O	O	O	O	O	O
Duuschland	O	B-LOC	O	O	O	O	O	O	Duuschland en Vrankryk
en	O	I-LOC	O	O	O	O	O	O
Vrankryk	O	I-LOC	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O
en	O	O	O	O	O	O	O	O
weederom	O	O	O	O	O	O	O	O
te	O	O	O	O	O	O	O	O
rug	O	O	O	O	O	O	O	O
te	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O
kunnen	O	O	O	O	O	O	O	O
doen	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O
