IS	O
gehoord	O
het	O
rapport	O
van	O
de	O
Heeren	O
van	O
Spaan	O
,	O
en	O
andere	O
haar	O
Hoog	O
Mog	O
.	O
Gedeputeerden	O
tot	O
de	O
zaaken	O
van	O
de	O
Landen	O
van	O
Overmaaze	O
,	O
hebbende	O
,	O
in	O
gevolge	O
en	O
tot	O
voldoeninge	O
van	O
der	O
zelver	O
Resolutie	O
commissoriaal	O
van	O
den	O
25	B-DAT
July	I-DAT
des	I-DAT
voorleeden	I-DAT
jaars	I-DAT
1791	I-DAT
,	O
met	O
en	O
nevens	O
eenige	O
Heeren	O
Gecommitteerden	O
uit	O
den	O
Raad	O
van	O
Siaate	O
,	O
geëxamineert	O
een	O
Missive	O
van	O
den	O
Heere	O
vander	O
Hoop	O
,	O
haar	O
Hoog	O
Mog	O
.	O
Minister	O
te	O
Luyk	O
,	O
geschreeven	O
aldaar	O
den	O
22	B-DAT
daar	I-DAT
te	I-DAT
voren	I-DAT
,	O
geaddresseert	O
aan	O
den	O
Griffier	O
Fagel	O
,	O
houdende	O
,	O
dat	O
,	O
na	O
dat	O
de	O
Heer	O
Prins	O
Bisschop	O
hem	O
onderhouden	O
had	O
over	O
de	O
onaangenaame	O
vervolg	O
ngen	O
welke	O
de	O
Pastor	O
van	O
Mechelen	O
,	O
Territoir	O
van	O
haar	O
Hoog	O
Mog	O
.	O
,	O
door	O
een	O
gedeelte	O
van	O
zwne	O
Gemeente	O
,	O
dewelke	O
volgens	O
het	O
zeggen	O
van	O
zeekere	O
Persoonen	O
zouden	O
zyn	O
geanimeert	O
,	O
had	O
ondergaan	O
,	O
met	O
de	O
gevolgen	O
dat	O
hy	O
zyn	O
Pastory	O
had	O
moeten	O
verlaaten	O
,	O
de	O
Canonicq	O
de	O
Latte	O
,	O
Secretaris	O
van	O
het	O
Bisdom	O
te	O
Luyk	O
,	O
by	O
de	O
Missive	O
nevens	O
de	O
voorsz	O
Missive	O
gevoegt	O
,	O
de	O
daar	O
nevens	O
gevoegde	O
Papieren	O
dewelke	O
betrekking	O
tot	O
die	O
zaak	O
hadden	O
,	O
met	O
de	O
Supplique	O
van	O
voornoemde	O
Pastor	O
aan	O
de	O
Heer	O
Prins	O
Bisschop	O
gepresenteert	O
,	O
aan	O
hem	O
Heer	O
Minister	O
toegezonden	O
had	O
,	O
met	O
verzoek	O
om	O
dezelve	O
aan	O
haar	O
Hoog	O
Mog	O
.	O
te	O
presenteeren	O
.	O
Mitsgaders	O
,	O
ter	O
voldoeninge	O
aan	O
haar	O
Hoog	O
Mog	O
.	O
Resolutie	O
commissoriaal	O
van	O
den	O
30	B-DAT
September	I-DAT
des	I-DAT
gemelden	I-DAT
1791	I-DAT
,	O
geëxamineert	O
hebbende	O
een	O
nadere	O
Missive	O
van	O
den	O
voornoemden	O
Heere	O
vander	O
Hoop	O
,	O
geschreven	O
te	O
Luyk	O
den	O
27	B-DAT
daar	I-DAT
te	I-DAT
voren	I-DAT
,	O
houdende	O
advertentie	O
,	O
en	O
zendende	O
daar	O
