18	O
ter	O
Vergaderinge	O
geleelen	O
de	O
Requeste	O
van	O
Gerrit	B-PER
Pater	I-PER
,	I-PER
woonende	B-HOE
alhier	I-HOE
in	I-HOE
den	B-LOC
Hage	I-LOC
,	O
en	O
XlIbertina	B-PER
van	I-PER
Nieuwkerk	I-PER
de	I-PER
Nieuwenbeym	I-PER
,	I-PER
woonende	B-HOE
op	I-HOE
Eck	B-LOC
en	I-LOC
Wiel	I-LOC
in	I-LOC
de	I-LOC
Provincie	I-LOC
van	I-LOC
Gelderland	I-LOC
,	O
houdende	O
,	O
dat	O
den	O
Suppliant	O
haar	B-RES
Hoogh	I-RES
Mogende	I-RES
Resolutie	I-RES
van	I-RES
den	I-RES
derden	B-DAT
Augusty	I-DAT
laatstleeden	I-DAT
,	O
op	O
der	O
Supplianten	O
Requeste	O
genoomen	O
,	O
behoorlyck	O
hadde	O
gedaan	O
insinueeren	O
aan	O
de	O
respective	O
Geinteresseerdens	O
-	O
in	O
de	O
helfte	O
van	O
de	O
Plantagie	B-NAM
la	I-NAM
Jalousie	I-NAM
5	O
voorts	O
nogh	O
aan	O
de	O
Executeurs	B-HOE
van	I-HOE
den	I-HOE
Testamente	I-HOE
van	I-HOE
des	I-HOE
eersten	I-HOE
Suppliants	I-HOE
Vader	I-HOE
;	O
mitsgaders	O
nogh	O
aan	O
de	O
tegenwoordige	O
Administzateuis	O
van	O
de	O
helfte	O
in	O
de	O
gemelde	O
Plantagie	O
,	O
omme	O
respectivelyek	O
der	O
selver	O
schriftelyck	O
belangh	O
daar	O
op	O
uytterlyck	O
binnen	O
den	O
tyd	O
van	O
veertien	O
daagen	O
na	O
insinuatie	O
aan	O
haar	O
Hoogh	O
Mogende	O
te	O
laaten	O
toekoomen	O
,	O
omme	O
,	O
het	O
selve	O
ingekoomen	O
,	O
of	O
by	O
gebreecken	O
van	O
dien	O
de	O
voorschreeve	O
tyd	O
van	O
veertien	O
daagen	O
verstreeken	O
zynde	O
,	O
by	O
haar	O
Hoogh	O
Mogende	O
nader	O
gedisponeert	O
te	O
worden	O
,	O
soodanigh	O
als	O
bevonden	O
soude	O
worden	O
te	O
behooren	O
;	O
dat	O
de	O
voornoemde	O
tyd	O
van	O
veertien	O
daagen	O
stond	O
te	O
expireeren	O
,	O
en	O
het	O
van	O
de	O
uytterste	O
praejuditie	O
voor	O
de	O
Supplianten	O
was	O
,	O
indien	O
niet	O
spoedige	O
voorsieninge	O
geschiede	O
noopens	O
de	O
restauratie	O
der	O
schaade	O
aan	O
de	O
Plantagie	O
by	O
der	O
Supplianten	O
Requeste	O
gemeld	O
veroorsaackt	O
;	O
verzoeckende	O
de	O
Supplianten	O
derhalven	O
,	O
dat	O
haar	O
Hoogh	O
Mogende	O
alsnu	O
ex	O
plenitudine	O
potestatis	O
de	O
helfie	O
in	O
de	O
Plantagie	B-NAM
la	I-NAM
Jalousie	I-NAM
,	I-NAM
geleegen	I-NAM
in	I-NAM
de	I-NAM
Colonie	B-LOC
van	I-LOC
Surinaame	I-LOC
,	O
by	O
den	O
eersten	O
Suppliant	O
van	O
sijnen	O
Vader	O
geërft	O
,	O
ter	O
concurrentie	O
van	O
soodange	O
somme	O
als	O
tot	O
restauratie	O
van	O
de	O
schaade	O
,	O
door	O
den	O
brand	O
van	O
den	O
dertienden	B-DAT
January	I-DAT
deeses	I-DAT
saars	I-DAT
seeventien	I-DAT
honderd	I-DAT
vier	I-DAT
en	I-DAT
sestigh	I-DAT
op	O
de	O
voorschreve	O
Plantagie	O
veroorsaackt	O
,	O
mitsgaders	O
tot	O
betaalingh	O
der	O
interessen	O
van	O
de	O
Gelden	O
daar	O
toe	O
te	O
negotieeren	O
,	O
noodig	O
soude	O
zyn	O
,	O
geliefden	O
te	O
ontheffen	O
van	O
soodanigen	O
band	O
van	O
Fideicommis	O
,	O
als	O
daar	O
op	O
by	O
het	O
Testament	O
wertighlyck	O
moghte	O
zyn	O
geleght	O
,	O
en	O
de	O
Administrateurs	B-ORG
der	I-ORG
voorschreeve	I-ORG
halve	I-ORG
Plantagie	I-ORG
hier	I-ORG
te	I-ORG
Lande	I-ORG
,	O
voor	O
soo	O
veel	O
des	O
noods	O
te	O
authoriseeren	O
en	O
te	O
qualificeeren	O
,	O
omme	O
op	O
de	O
voorschreeve	O
helfte	O
der	O
gemelde	O
Plantagie	O
by	O
provisie	O
,	O
vermits	O
nogh	O
onseecker	O
was	O
hoe	O
veel	O
daar	O
toe	O
soude	O
worden	O
vereyscht	O
,	O
te	O
negotieeren	O
eene	O
somme	O
van	O
honderd	O
duyzend	O
guldens	O
,	O
met	O
vrylaatinge	O
aan	O
de	O
Supplianten	O
om	O
,	O
in	O
gevalle	O
de	O
voorschreeve	O
somme	O
niet	O
voldoende	O
bevonden	O
word	O
,	O
alsdan	O
omtrent	O
het	O
deficieerende	O
soodanigh	O
nader	O
versoeck	O
aan	O
haar	O
Hoogh	O
Mogende	O
te	O
doen	O
als	O
sylieden	O
souden	O
te	O
raaden	O
worden	O
.	O
WAAR	O
op	O
gedelibereert	O
,	O
en	O
in	O
aghtinge	O
genoomen	O
zynde	O
,	O
dat	O
op	O
het	O
voorschreeve	O
subject	O
reeds	O
op	O
gisteren	O
is	O
gedisponeert	O
,	O
is	O
daar	O
op	O
geen	O
nader	O
resolutie	O
gevallen	O
.	O
